id,target,comment,label,language,dataset,transformation,translation,rtt
25093,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,En particulier les énergies renouvelables indigènes.,FAVOR,fr,X-Stance,En particulier les énergies fossiles.,Insbesondere fossile Energien.,En particulier les énergies fossiles.
91166,Approuveriez-vous une interdiction générale de publicité pour l’alcool et le tabac?,"Limiter la publicité sur ces produits considérés comme néfastes relèvent du bon sens, particulièrement pour les publicités ayant comme public-cibles les jeunes.",FAVOR,fr,X-Stance,Rejetez une interdiction générale de publicité pour l’alcool et le tabac.,Verwerfen Sie eine allgemeine Werbungseinschränkung für Alkohol und Tabak.,Refusez une restriction générale à la publicité sur l'alcool et le tabac.
49466,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Le logement n'est ni un luxe ni un caprice. Les revenus immobiliers sont la source d'enrichissement et de grands profits, alors que le logement doit être considéré comme un droit humain.",FAVOR,fr,X-Stance,"Le logement n'est ni un luxe ni un caprice. Les revenus immobiliers ne sont pas la source d'enrichissement et de grands profits, alors que le logement doit être considéré comme un luxe.","Das Wohnen ist weder ein Luxus noch ein Privileg. Immobilienerträge sind keine Quelle für Reichtum und große Gewinne, während das Wohnen als Luxus betrachtet werden sollte.","Logement n'est ni un luxe ni un privilège. Les revenus immobiliers ne sont pas une source de richesse et de gains importants, tandis que le logement devrait être considéré comme un luxe."
80304,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,"Les « secundos » (par exemple, les italiens) ont prouvé qu’ils ont intégré notre système de valeurs dans leur vie et dans leur mentalité. L’AVS les remercie !",FAVOR,fr,X-Stance,La naturalisation devrait-elle être rendue difficile aux étrangers de la troisième génération?,Sollte die Einbürgerung für Drittstaatsangehörige der dritten Generation erschwert werden?,Sera-t-il difficile d'obtenir la naturalisation pour les ressortissants de pays tiers de la troisième génération?
72304,Approuveriez-vous la mise en place du don d’organe automatique (consentement présumé) en Suisse?,Il s'agit d'une liberté individuelle. La promotion est un bon moyen.,AGAINST,fr,X-Stance,Ce n'est pas une liberté individuelle. La promotion n'est pas un bon moyen.,Das ist keine individuelle Freiheit. Die Förderung ist kein guter Weg.,Ce n'est pas une liberté individuelle. La promotion n'est pas un bon moyen.
121839,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,Favorable à des centres nationaux concernant la médecine de pointe.Je préferre être soigné au top à Zürich que moyennement à Genève,FAVOR,fr,X-Stance,Favorable à la fermeture d'hôpitaux nationaux qui pourraient conduire à une amélioration de la médecine de pointe.,"Für die Schließung nationaler Krankenhäuser, die zu einer Verbesserung der Spitzenmedizin führen könnten.","Pour la fermeture des hôpitaux nationaux, qui pourraient conduire à une amélioration de la médecine de pointe."
23209,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Je suis pour une vignette différente pour les suisse et les étrangers qui utilisent nos routes au rabais.,AGAINST,fr,X-Stance,Je suis contre une vignette différente pour les étrangers qui utilisent nos routes au rabais.,"Ich bin gegen eine unterschiedliche Mautgebühr für Ausländer, die unsere Straßen im Rabatt nutzen.",Je suis contre une tarification différente des péages pour les étrangers qui utilisent nos routes à rabais.
142508,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?","Il faut envisager la solution de manière multimodale. La tarification de la mobilité vise une utilisation plus efficace des capacités routières et ferroviaire, contrairement au Road pricing qui ne vise qu'à limiter le trafic routier.",AGAINST,fr,X-Stance,"Il faut envisager la solution de manière monomodale. La tarification de la mobilité vise à limiter l'utilisation des capacités routières et ferroviaire, contrairement à la tarification de la mobilité qui vise une utilisation plus efficace des capacités routières et ferroviaire.","Man muss die Lösung monomodellisch betrachten. Die Tarife für Mobilität zielen darauf ab, die Nutzung der Straßen- und Schienenfahrzeuge einzuschränken, im Gegensatz zu den Tarifen für Mobilität, die auf eine effizientere Nutzung der Straßen- und Schienenfahrzeuge abzielen.","Il faut considérer la solution en monomodèle. Les tarifs pour la mobilité visent à restreindre l'utilisation des véhicules routiers et ferroviaires, contrairement aux tarifs pour la mobilité qui visent à une utilisation plus efficace des véhicules routiers et ferroviaires."
30495,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour les spécialistes de la santé du groupe parlementaire des VERTS, la mise en oeuvre de cette initiative est peu claire. Par ex.: le plafonnement des dépenses se fera-t-il au détriment de la qualité et de la sécurité des soins?",AGAINST,fr,X-Stance,"Pour les spécialistes de la santé du groupe parlementaire des VERTS, la mise en œuvre de cette initiative est claire.",Für die Gesundheitsexperten der grünen Fraktion im Parlament ist die Umsetzung dieser Initiative klar.,"Pour les experts en santé de la fraction verte au Parlement, la mise en œuvre de cette initiative est claire."
119177,L'État devrait-il engager davantage de moyens financiers dans l'intégration des étrangers?,"Si le thème est aujourd'hui central en Suisse, c'est parce que les étrangers d'aujourd'hui ne se sont pas intégrés comme ceux d'hier (immigration du Sud de l'Europe des années 50 à 70). Il me semble normal que l'État fasse son maximum pour favoriser cette intégration.",FAVOR,fr,X-Stance,"Si le thème n'est pas aujourd'hui central en Suisse, c'est parce que les étrangers d'aujourd'hui se sont intégrés comme ceux d'hier (immigration du Sud de l'Europe des années 50 à 70). Il me semble normal que l'État ne fasse pas son maximum pour favoriser cette intégration.","Wenn das Thema heute in der Schweiz nicht zentral ist, liegt das daran, dass die heutigen Ausländer wie diejenigen von früher (Zuwanderung aus dem südlichen Europa in den 50er bis 70er Jahren) integriert wurden. Es erscheint mir normal, dass der Staat nicht sein Maximum tut, um diese Integration zu fördern.","Si le sujet n'est pas central aujourd'hui en Suisse, c'est parce que les étrangers d'aujourd'hui, comme ceux d'autrefois (immigration provenant du sud de l'Europe dans les années 50 à 70), ont été intégrés. Il me semble normal que l'État ne fasse pas tout son possible pour favoriser cette intégration."
