id,target,comment,label,language,dataset,transformation,translation,rtt,batch
47675,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Les travailleurs d'un certain âge doivent avoir la possibilité de se reconvertir professionnellement! On pense à la numérisation, à la disparition de certains métiers.",FAVOR,fr,X-Stance,Les travailleurs d'un certain âge ne doivent pas avoir la possibilité de se reconvertir professionnellement.,"Arbeiter im fortgeschrittenen Alter sollten nicht die Möglichkeit haben, sich beruflich neu zu orientieren.",Les travailleurs âgés avancés ne devraient pas avoir la possibilité de se réorienter professionnellement.,6
41604,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Si il s’agit notamment de diminuer le coût des médicaments, y compris les génériques, souvent trois fois plus chers que dans les pays limitrophes, il n’y a aucune hésitation à avoir. Il y a aussi la valorisation du rôle du médecin de famille qui peut procéder à une première évaluation de l’état du patient. Pour diminuer les couts de la santé c’est tout une batterie de mesures qu’il faut déployer et pas toujours au détriment des médecins, ni de la qualité des soins.",FAVOR,fr,X-Stance,"Si il s'agit notamment d'augmenter le coût des médicaments, y compris les génériques, souvent trois fois plus chers que dans les pays limitrophes, il n'y a aucune hésitation à avoir. Il n'y a pas de valorisation du rôle du médecin de famille qui peut procéder à une première évaluation de l’état du patient. Pour augmenter les couts de la santé c’est tout une batterie de mesures qu’il faut déployer et toujours au détriment des médecins, ni de la qualité des soins.","Wenn es sich insbesondere um die Erhöhung der Kosten für Medikamente, einschließlich Generika, handelt, die oft dreimal teurer sind als in den angrenzenden Ländern, besteht keine Bedenken. Es gibt keine Wertschätzung für die Rolle des Hausarztes, der eine erste Bewertung des Gesundheitszustands des Patienten durchführen kann. Um die Gesundheitskosten zu erhöhen, müssen eine ganze Reihe von Maßnahmen ergriffen werden, und das immer zum Nachteil der Ärzte, weder der Qualität der Versorgung.","Si l'on parle en particulier de l'augmentation des coûts des médicaments, y compris les génériques, qui sont souvent trois fois plus chers que dans les pays voisins, il n'y a aucune crainte. Il n'y a aucune considération pour le rôle du médecin de famille, qui peut effectuer une première évaluation de l'état de santé du patient. Pour augmenter les coûts de santé, il faut prendre toute une série de mesures, et ce toujours au détriment des médecins, ni de la qualité de la prise en charge.",6
72087,Les décisions de la Cour européenne des droits de l’homme (CrEDH) sont contraignantes pour la Suisse. Trouvez-vous cela juste?,Les droits humains sont des droits fondamentaux. Ils doivent être universellement respectés. Qui serions-nous pour abriter autant d'institutions internationales mais refuser de nous conformer à la CEDH?,FAVOR,fr,X-Stance,Les décisions de la Cour européenne des droits de l’homme (CrEDH) ne sont pas contraignantes pour la Suisse.,Die Entscheidungen des Europäischen Gerichtshofs für Menschenrechte (EGMR) sind für die Schweiz nicht bindend.,Les décisions du Tribunal européen des droits de l'homme (TEDH) ne sont pas contraignantes pour la Suisse.,6
46062,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,Le corps d'un défunt n'est pas présumé appartenir à l'Etat. Le consentement éclairé doit être explicite à chaque fois qu'il s'agit de matériel humain.,AGAINST,fr,X-Stance,Le corps d'un défunt est présumé appartenir à l'État.,Der Leichnam eines Toten wird als Eigentum des Staates angesehen.,Le corps d'un mort est considéré comme un bien appartenant à l'État.,6
22203,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,"Oui, absolument. Cela permettrait de dévoiler quel intérêts les partis bourgeois défendent.

Spoiler : Ce sont ceux du 1 % le plus riche de la population suisse.",FAVOR,fr,X-Stance,"Non, absolument. Cela permettrait de cacher les intérêts des partis bourgeois.","Nein, ganz bestimmt. Das würde die Interessen der bürgerlichen Parteien verbergen.","Non, absolument pas. Cela cacherait les intérêts des partis bourgeois.",6
18099,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour autant que cela ne se fasse pas au détriment de la qualité de prestation de soin, ni aux détriments des patients.",FAVOR,fr,X-Stance,"Pour autant que cela ne se fasse pas au détriment de la qualité de la prestation de soin, ni des avantages des patients.",Solange dies nicht zu Lasten der Qualität der Gesundheitsversorgung oder der Vorteile der Patienten geht.,Tant que cela ne porte pas préjudice à la qualité de la prestation de soins ou aux avantages pour les patients.,6
124891,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"De trop nombreux hôpitaux ont déjà été fermé ou des services démentelés, forçant dans certaines situations les patients à couvrir de longues distances pour obtenir les soins ou traitements auxquels ils ont droit. Par exemple la fermeture de nombreuses maternités en Suisse romande.",AGAINST,fr,X-Stance,Seriez-vous défavorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"Wären Sie gegen einen nationalen Krankenhausplan, der auch zur Schließung einiger Krankenhäuser führen könnte?",Êtes-vous contre un plan national de hôpitaux qui pourrait également conduire à la fermeture de certains hôpitaux?,6
41194,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,Il faut aider tous ceux qui veulent s'intégrer pour la paix de chacun.,FAVOR,fr,X-Stance,Il faut exclure tous ceux qui veulent s'intégrer pour la paix de chacun.,"Man muss alle ausschließen, die sich für den Frieden von jedem einbinden wollen.",Il faut exclure tous ceux qui veulent s'engager pour la paix de n'importe qui.,6
25395,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est nécessaire de donner à nos citoyen-ne-s les moyens de rester compétitifs dans notre société en perpétuelle évolution.,FAVOR,fr,X-Stance,La Confédération devrait réduire son soutien financier à la formation continue et à la reconversion professionnelle.,Die Konföderation sollte ihre finanzielle Unterstützung für Weiterbildung und berufliche Umschulung reduzieren.,La Confédération devrait réduire son soutien financier à la formation continue et à la réorientation professionnelle.,6
76558,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?","Entièrement au choix: service militaire ou protection civile ou service civil, et en Suissse ou à l'étranger.
Völlig zur Wahl: Militär oder Zivilschutz oder Zivildienst, in der Schweiz oder im Ausland).",FAVOR,fr,X-Stance,"Non, je suis contre la mise en place d'un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes.","Nein, ich bin gegen die Einführung eines allgemeinen Bürgerdienstes (Militärdienst, verlängerter Freiwilligendienst oder kommunale Wehrpflicht) für Männer und Frauen.","Non, je suis contre l'introduction d'un service civique général (service militaire, service volontaire prolongé ou service national obligatoire) pour les hommes et les femmes.",6
