id,target,comment,label,language,dataset,transformation,translation,rtt
47148,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, effectivement, cette initiative est positive. Cependant, il serait préférable de réformer l'entièreté du sytème des assurances privées vers un dispositif de santé inconditionnel et universel.",FAVOR,fr,X-Stance,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, cette initiative est négative. Cependant, il serait préférable de réformer l'entièreté du système des assurances privées vers un dispositif de santé inconditionnel et universel.","In dem Maße, dass dies zur Vereinheitlichung und Gleichbehandlung führt, ist diese Initiative negativ. Es wäre jedoch besser, das gesamte System der privaten Versicherungen in ein unbedingtes und universelles Gesundheitssystem umzuwandeln.","Dans la mesure où cela conduit à la normalisation et à l'égalité de traitement, cette initiative est négative. Il serait toutefois préférable de transformer l'ensemble du système des assurances privées en un système de santé inconditionnel et universel."
29076,L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,"Trouver une place en crèche est très souvent un chemin de croix pour les couples. Ce programme doit être renforcé pour permettre, aux couples qui le veulent, de rester employé sans que monsieur ou madame (souvent madame d'ailleurs)  doive quitter son emploi faute de place en crèche!",FAVOR,fr,X-Stance,Trouver une place en crèche est souvent un chemin de croix pour les couples. Ce programme doit être affaibli pour empêcher les couples qui le veulent de rester employés sans que monsieur ou madame (souvent monsieur d'ailleurs) doit quitter son emploi faute de place en crèche.,"Die Suche nach einem Platz in einer Kinderkrippe ist für Paare oft ein Martyrium. Dieser Plan muss abgeschwächt werden, um zu verhindern, dass Paare, die es wünschen, weiterhin beschäftigt bleiben, ohne dass Herr oder Frau (oftmals Herr) ihren Arbeitsplatz aufgrund von Platzmangel in der Kinderkrippe verlassen müssen.",La recherche d'un poste dans une crèche pour enfants est souvent un calvaire pour les couples. Ce plan doit être atténué pour empêcher les couples qui le souhaitent de continuer à être occupés sans que l'homme ou la femme (souvent l'homme) ne doive quitter son emploi en raison de la pénurie de place dans la crèche.
74169,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?",Il faut que le peuple choisisse clairement entre l'un et l'autre ! On ne peut pas répondre oui ou non avant que ça soit clair.,FAVOR,fr,X-Stance,"À mon avis, le maintien des accords bilatéraux conclus avec l'UE doit avoir la priorité sur l'application rigoureuse de l'initiative sur l'immigration de masse.",Meiner Meinung nach muss die Beibehaltung der bilateralen Abkommen mit der EU Vorrang vor der strikten Umsetzung der Masseneinwanderungsinitiative haben.,"A mon avis, le maintien des accords bilatéraux avec l'UE doit avoir la priorité sur la mise en œuvre stricte de l'initiative d'immigration massive."
74777,"D'après le concept de l'école intégrative, les enfants avec des difficultés d'apprentissage ou des handicaps sont, en principe, intégrés à des classes normales. Approuvez-vous cette approche?","Le concept de l'école intégrative est un joli concept qui se cogne rapidement aux réalités. S'il est des enfants à handicap qui s'intègrent aisément et bénéficient de cette intégration dans une classe normale pour la grande joie de toute la classe, il en est également pour qui cette intégration sera une difficulté supplémentaire, ou dont l'intégration ajoutée à celle d'autres enfants avec d'autres handicap rendra la classe ingérable. L'approche doit donc être pragmatique et non conceptuelle.",AGAINST,fr,X-Stance,Le concept de l'école intégrative est une mauvaise idée qui se cogne rapidement aux réalités.,"Das Konzept der integrativen Schule ist eine schlechte Idee, die sich schnell an die Realität stößt.",Le concept de l'école intégrative est une mauvaise idée qui se heurte rapidement à la réalité.
81275,Une initiative populaire demande la sortie de l'énergie nucléaire d'ici à 2029. Y êtes-vous favorable?,"Le délai devrait être plus flexible.

La sortie du nucléaire n'est par contre pas remise en question.",AGAINST,fr,X-Stance,Le délai devrait être fixe.,Der Zeitrahmen sollte fix sein.,Le délai devrait être fixe.
78413,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'indépendance du domaine de la recherche doit être garantie.,AGAINST,fr,X-Stance,L'indépendance du domaine de la recherche doit être compromise.,Die Unabhängigkeit des Forschungsgebiets muss gefährdet werden.,L'indépendance du domaine de recherche doit être menacée.
45717,"Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?",On ne pourra malheureusement pas effectuer une transition écologique efficace en baissant les impôts. Cette transition est par ailleurs nécessaire au plus vite si l'on veut pouvoir voir prospérer l'avenir des générations futures.,AGAINST,fr,X-Stance,"Selon moi, la baisse des impôts au niveau fédéral n'est pas une priorité pour les quatre prochaines années.",Meiner Meinung nach ist die Senkung der Steuern auf Bundesebene in den nächsten vier Jahren keine Priorität.,Je pense que la réduction des impôts au niveau fédéral ne sera pas une priorité dans les quatre prochaines années.
56072,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Dans la mesure où on développe en même temps les transports publics,FAVOR,fr,X-Stance,Dans la mesure où les transports publics sont moins développés.,"In dem Maße, dass die öffentlichen Verkehrsmittel weniger entwickelt sind.",Dans la mesure où les transports en commun sont moins développés.
78343,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'autonomie de l'enseignement et de recherche doit être garantie ; l'influence de la politique doit être évitée.,AGAINST,fr,X-Stance,L'autonomie de l'enseignement et de recherche doit être limitée ; l'influence de la politique doit être maximisée.,Die Autonomie von Lehre und Forschung muss begrenzt sein; die politische Einflussnahme muss maximiert werden.,L'autonomie de la formation et de la recherche doit être limitée; l'influence politique doit être maximisée.
48543,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation compète du marché mettrait en danger la production locale d'électricité, elle est donc à éviter.",AGAINST,fr,X-Stance,"La libéralisation complète du marché de l'électricité protégerait la production locale d'électricité, elle doit donc être encouragée.","Die vollständige Liberalisierung des Strommarktes würde die lokale Stromerzeugung schützen, daher muss sie gefördert werden.","La libéralisation complète du marché de l'électricité protégerait la production locale d'électricité, c'est pourquoi elle doit être encouragée."
88694,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Je n'aime pas l'idée de contrainte: on n'intègre pas quelqu'un de force. Par contre, des conventions d'intégration non contraignantes pourraient être intéressantes, si elles permettent d'instaurer un dialogue et incitent et accompagner positivement les étrangers vers l'intégration.",AGAINST,fr,X-Stance,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE ne devraient pas être obligatoirement liés au respect de la Convention d’intégration.,"Die Aufenthaltsgenehmigungen von Migranten und Migrantinnen, die keine Staatsangehörigen der Mitgliedstaaten der EU/AELE sind, sollten nicht zwingend an die Einhaltung der Integrationskonvention gebunden sein.",Les permis de séjour des migrants et des migrantes qui n'ont pas la nationalité d'un État membre de l'UE/AELE ne devraient pas nécessairement être liés à l'observation de la convention sur l'intégration.
