id,target,comment,label,language,dataset,transformation,translation,rtt,batch,acceptable,suggestion
88694,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Je n'aime pas l'idée de contrainte: on n'intègre pas quelqu'un de force. Par contre, des conventions d'intégration non contraignantes pourraient être intéressantes, si elles permettent d'instaurer un dialogue et incitent et accompagner positivement les étrangers vers l'intégration.",AGAINST,fr,X-Stance,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE ne devraient pas être obligatoirement liés au respect de la Convention d’intégration.,"Die Aufenthaltsgenehmigungen von Migranten und Migrantinnen, die keine Staatsangehörigen der Mitgliedstaaten der EU/AELE sind, sollten nicht zwingend an die Einhaltung der Integrationskonvention gebunden sein.",Les permis de séjour des migrants et des migrantes qui n'ont pas la nationalité d'un État membre de l'UE/AELE ne devraient pas nécessairement être liés à l'observation de la convention sur l'intégration.,1,No,"J'aime l'idée de contrainte: on intègre quelqu'un de force. Des conventions d'intégration contraignantes pourraient être intéressantes, si elles permettent d'instaurer un dialogue et incitent et accompagner les étrangers vers l'intégration."
85002,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,"En revanche, le financement des partis par l'Etat (comme dans le canton de Genève par exemple) devrait être interdit.",AGAINST,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait être interdit.,Die Finanzierung von Parteien sowie die Finanzierung von Wahlkampagnen und Volksabstimmungen sollte verboten werden.,La financement des partis ainsi que la financement des campagnes électorales et des référendums devrait être interdit.,1,No,"En revanche, le financement des partis par l'Etat (comme dans le canton de Genève par exemple) doit continuer."
109077,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,Il serait judicieux qu'un plus grand nombre de concitoyens puissent accéder à la propriété de leur logement,FAVOR,fr,X-Stance,Il serait judicieux qu'un plus petit nombre de concitoyens puissent accéder à la propriété de leur logement.,"Es wäre sinnvoll, dass ein kleinerer Anteil der Bürger Zugang zu ihrem Wohnraum erhält.",Il serait judicieux qu'un plus petit pourcentage de citoyens ait accès à leur logement.,1,Yes,
122739,Etes-vous favorable à initiative populaire qui demande que le Conseil fédéral soit directement élu par le peuple?,"L'élection par le peuple a actuellement plus de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont voté ""leurs"" élus.",AGAINST,fr,X-Stance,"L'élection indirecte a actuellement plus de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont été choisis leurs élus.","Die indirekte Wahl hat derzeit mehr Chancen, dem Populismus zu dienen als der Idee der direkten Demokratie. Allerdings sollte die Transparenz dieser Wahl stark verbessert werden, indem die Bürger erfahren, wie ihre gewählten Vertreter ausgewählt wurden.","L'élection indirecte a actuellement plus de chances de servir le populisme que l'idée de la démocratie directe. Cependant, il faudrait améliorer considérablement la transparence de cette élection en informant les citoyens sur la manière dont leurs représentants élus ont été choisis.",1,No,"L'élection par le peuple a actuellement moins de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont été choisis leurs élus."
25054,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,"Il est important de promouvoir toutes les avancées technologiques par l'encouragement à la recherche au sein de nos HES-EPF-Startups d'une part, et d'autre part élargir le développement de la voie diplotique de la science pour garantir des solutions globales aux énergies renouvelables.",FAVOR,fr,X-Stance,"Il n'est pas important de promouvoir toutes les avancées technologiques par l'encouragement à la recherche au sein de nos HES-EPF-Startups d'une part, et d'autre part restreindre le développement de la voie diplotique de la science pour limiter les solutions globales aux énergies renouvelables.","Es ist nicht wichtig, alle technologischen Fortschritte durch die Förderung der Forschung in unseren HES-EPF-Startups zu fördern, einerseits, und andererseits die Entwicklung der diplomatischen Weg der Wissenschaft einzuschränken, um globale Lösungen für erneuerbare Energien zu begrenzen.","Il n'est pas important de promouvoir tous les progrès technologiques grâce à la promotion de la recherche dans nos HES-EPF-startups, d'une part, et d'autre part, de restreindre le développement du chemin diplomatique de la science pour limiter les solutions mondiales aux énergies renouvelables.",1,Yes,
88710,Êtes-vous en faveur d'une libéralisation complète des horaires d'ouverture des magasins (fixation des horaires d'ouverture selon leur propre appréciation)?,"Je suis par contre favorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, avec la possibilité de faire ses achats on-line, il est moins nécessaire qu'avant d'avoir en permanence des magasins ouverts.",AGAINST,fr,X-Stance,"Je suis contre une libéralisation complète des horaires d'ouverture des magasins, car je pense que les magasins de petite taille devraient fixer leurs propres horaires d'ouverture en fonction de leur propre appréciation. De plus, avec la possibilité de faire ses achats en ligne, il n'est pas nécessaire d'avoir des magasins ouverts en permanence.","Ich bin gegen eine vollständige Liberalisierung der Öffnungszeiten von Geschäften, da ich denke, dass kleine Geschäfte ihre eigenen Öffnungszeiten nach eigenem Ermessen festlegen sollten. Darüber hinaus ist es angesichts der Möglichkeit, Einkäufe online zu tätigen, nicht erforderlich, dass Geschäfte ständig geöffnet sind.","Je suis contre une libéralisation complète des horaires d'ouverture des commerces, car je pense que les petits commerces devraient fixer leurs propres horaires à leur guise. De plus, compte tenu de la possibilité d'effectuer des achats en ligne, il n'est pas nécessaire que les commerces soient ouverts en permanence.",1,No,"Je suis contre une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, avec la possibilité de faire ses achats on-line, il est moins nécessaire qu'avant d'avoir en permanence des magasins ouverts."
82329,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",A condition qu'il soit accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes.,FAVOR,fr,X-Stance,Je ne suis pas favorable à la mise en place d’un service citoyen général obligatoire pour les hommes et les femmes.,"Ich bin nicht dafür, dass ein allgemeiner Bürgerdienst für Männer und Frauen obligatorisch eingeführt wird.",Je ne suis pas en faveur de l'introduction obligatoire d'un service civil général pour les hommes et les femmes.,1,No,"Non, même si il est accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes."
77499,La protection contre le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit-elle être renforcée?,A mettre en lien avec le besoin de valoriser et prolonger le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.,FAVOR,fr,X-Stance,Le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit être facilité.,Die Entlassung älterer Arbeitnehmer (über 50 Jahre) muss erleichtert werden.,La libération des travailleurs âgés (plus de 50 ans) doit être facilitée.,1,No,A mettre en lien avec le besoin de dévaloriser et réduire le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.
125418,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"Pour un marché libre de la santé, contre un trop grande implication de l'Etat",AGAINST,fr,X-Stance,"Pour un marché libre de la santé, en faveur d'une trop grande implication de l'État.","Für einen freien Gesundheitsmarkt, zugunsten einer übermäßigen Beteiligung des Staates.","Pour un marché de la santé libre, en faveur d'une participation excessive de l'État.",1,No,"Pour un marché public de la santé, en faveur d'une grande implication de l'État."
88729,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?","Au besoin, si une application euro-compatible n'est pas possible, il faudra procéder à un vote de clarification.",AGAINST,fr,X-Stance,"À mon avis, le maintien des accords bilatéraux conclus avec l’UE doit avoir la priorité sur l’application rigoureuse de l’initiative sur l’immigration de masse.",Meiner Meinung nach muss die Aufrechterhaltung der bilateralen Abkommen mit der EU Vorrang vor der strikten Umsetzung der Initiative zur Masseneinwanderung haben.,"Selon moi, la préservation des accords bilatéraux avec l'UE doit avoir la priorité sur la mise en œuvre stricte de l'initiative concernant l'immigration massive.",1,No,"Au besoin, si une application euro-compatible n'est pas possible, il ne faudra pas procéder à un vote de clarification."
