id,target,comment,label,language,dataset,transformation,translation,rtt,batch,acceptable,suggestion,easy
36400,La consommation de cannabis devrait-elle être légalisée?,"Les politiques répressives en vigueurs depuis plusieurs décennies n'ont pas permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique doit être sérieusement envisagée. En outre, la manne financière potentielle permettrait de pallier en partie au problème de financement de notre système de retraites.",FAVOR,fr,X-Stance,"Les politiques répressives en vigueur depuis plusieurs décennies ont permis de contenir le phénomène du deal de rue. Une nouvelle approche répressive sur cette problématique ne doit pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le problème de financement de notre système de retraites.","Die repressiven Maßnahmen, die seit mehreren Jahrzehnten gelten, haben das Phänomen des Straßenhandels eindämmen können. Eine neue repressive Herangehensweise an diese Problematik darf nicht ernsthaft in Betracht gezogen werden. Darüber hinaus würde die potenzielle finanzielle Verluste teilweise das Finanzierungsproblem unseres Rentensystems gefährden.","Les mesures répressives qui sont en vigueur depuis plusieurs décennies ont pu contenir le phénomène du commerce de rue. Une nouvelle approche répressive de cette problématique ne doit pas être sérieusement envisagée. De plus, les pertes financières potentielles pourraient menacer partiellement le problème de financement de notre système de retraite.",2,No,"Les politiques répressives en vigueur depuis plusieurs décennies ont permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique ne doit pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le financement de notre système de retraites.",Yes
74331,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Ceux qui s'y opposent ont certainement des choses à dissimuler.,FAVOR,fr,X-Stance,Ceux qui s'y soutiennent ont certainement des choses à révéler.,"Diejenigen, die sich dafür einsetzen, haben sicherlich Dinge zu verbergen.",Les personnes qui militent en ce sens ont certainement des choses à cacher.,2,No,"Ceux qui le soutiennent ont certainement des choses à révéler.
",Yes
75603,Seriez-vous favorable à une augmentation de la franchise minimale de l’assurance maladie obligatoire (LAMal) de 300 à 500 CHF?,"C'est proprement scandaleux, alors que les caisses-maladie privées accumulent des réserves faramineuses en toute opacité. Ce système d'escroquerie organisée qu'est un système de santé privé et soumis aux lois du marché (biaisées en l'occurence) n'a que trop duré. Il est grand temps de le remplacer par une caisse unique et publique, avec des primes en fonction du revenu",AGAINST,fr,X-Stance,"Ce n'est pas proprement scandaleux, alors que les caisses-maladie publiques sont dépourvues de réserves suffisantes en toute transparence. Ce système de santé public et soumis à des réglementations strictes n'a pas duré trop longtemps. Il est temps de le remplacer par un système unique et privé, avec des cotisations en fonction du revenu.","Das ist nicht ganz skandalös, obwohl die öffentlichen Krankenversicherungen keine ausreichenden Reserven offenlegen. Dieser öffentliche Gesundheitssektor unterliegt strengen Vorschriften und hat nicht lange gedauert. Es ist an der Zeit, ihn durch ein einziges, privates System mit Beiträgen nach Einkommen zu ersetzen.","Cela n'est pas tout à fait scandaleux, même si les caisses d'assurance maladie publiques ne divulguent pas de réserves suffisantes. Ce secteur public de la santé est soumis à des réglementations strictes et n'a pas duré longtemps. Il est temps de le remplacer par un système unique, privé, basé sur les contributions en fonction du revenu.",2,No,"Ce n'est pas scandaleux, puisque les caisses-maladie publiques sont dépourvues de réserves suffisantes en toute transparence. Ce système de santé  privé et soumis aux lois du marché a encore sa place. Il n'est pas nécessaire de le remplacer par une caisse unique et publique, avec des primes en fonction du revenu",No
24489,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Il est essentiel de chercher des meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. Toutefois, le système utilisé doit être fiable à 100%, ce qui n'est pas le cas aujourd'hui, et nous ne pouvons pas prendre de risque avec cela.",AGAINST,fr,X-Stance,Il n'est pas nécessaire de poursuivre l'introduction du vote électronique lors des votations et des élections.,"Es ist nicht erforderlich, die Einführung des elektronischen Votings bei Abstimmungen und Wahlen fortzusetzen.",Il n'est pas nécessaire de poursuivre l'introduction du vote électronique lors des élections et des référendums.,2,No,"Il n'est pas nécessaire de chercher de meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. En effet, le système utilisé doit être fiable à 100%, ce qui est le cas aujourd'hui, et nous ne prenons pas de risque avec cela.",No
27515,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Les théories anti-vaccins sont aussi irrationnelles que dangereuses, et ont directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées. Mais l'obligation ne doit clairement porter que sur les vaccins dont la nécessité est reconnue (hors de question, par exemple, de rendre obligatoire le vaccin contre la grippe)",FAVOR,fr,X-Stance,"Les théories anti-vaccins sont aussi rationnelles que bénéfiques, et ont directement pour effet de prévenir la réapparition de maladies que l'on avait pensé éradiquées. Mais l'obligation doit clairement porter uniquement sur les vaccins dont la nécessité n'est pas reconnue (par exemple, rendre obligatoire le vaccin contre la grippe).","Die Anti-Impfstoff-Theorien sind ebenso vernünftig wie nützlich und haben direkt zur Verhinderung des Wiederauftretens von Krankheiten beigetragen, von denen man glaubte, sie seien ausgerottet. Aber die Pflicht muss eindeutig nur auf Impfungen beschränkt sein, deren Notwendigkeit nicht anerkannt wird (z. B. die Verpflichtung zur Grippeimpfung).","Les théories anti-vaccination sont tout aussi raisonnables que bénéfiques et ont directement contribué à empêcher la réapparition de maladies dont on pensait qu'elles étaient éradiquées. Cependant, la règle doit être clairement limitée aux vaccins dont la nécessité n'est pas reconnue (par exemple, l'obligation de se faire vacciner contre la grippe).",2,No,"Les théories anti-vaccins sont aussi rationnelles que bénéfiques, et n'ont pas directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées.",Yes
85583,Êtes-vous favorable à l'instauration d'un salaire minimum de 4’000 CHF pour tous les salariés (pour un poste à plein-temps)?,Il est plus sain de mieux négocier et d'élargir les CCT et de les établir ou il n'y en a pas.,AGAINST,fr,X-Stance,Il est plus sain de négocier moins et de restreindre les CCT et de les supprimer.,"Es ist gesünder, weniger zu verhandeln und die CCTs einzuschränken und zu streichen.",Il est plus sain de moins négocier et de restreindre et supprimer les CCT.,2,Yes,,
74543,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"L'aide sociale est un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y attaquer est inacceptable.",AGAINST,fr,X-Stance,"L'aide sociale n'est pas un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y remettre est acceptable.","Die Sozialhilfe ist für viele Menschen in prekären Situationen keine grundlegende Absicherung, die immer mehr Menschen in Anspruch nehmen. Sich darauf verlassen zu können, ist akzeptabel.","L'aide sociale n'est pas une assurance de base pour de nombreuses personnes dans des situations précaires, que de plus en plus de personnes sollicitent. Se fier à cela est acceptable.",2,No,"L'aide sociale n'est pas un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y attaquer est acceptable.",Yes
55778,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,Aucune justification n'est acceptable lorsque nous nous trouvons dans une situation de discrimination.,FAVOR,fr,X-Stance,Toute justification est acceptable lorsque nous nous trouvons dans une situation de discrimination.,"Jede Begründung ist akzeptabel, wenn wir uns in einer Diskriminierungs-Situation befinden.",Toute justification est acceptable si nous sommes dans une situation de discrimination.,2,Yes,,
77536,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Une telle mesure contreviendrait au respect des libertés individuelles et de la sphère privée. Une personne doit avoir le droit de financer un parti politique sans que l'Etat en ait connaissance. Doivent évidemment être soumis à l'investigation étatique les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme.,AGAINST,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations ne devrait pas être complètement transparent. Une telle mesure serait conforme au respect des libertés individuelles et de la sphère privée. Une personne ne doit pas avoir le droit de financer un parti politique sans que l'État en ait connaissance. Les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme ne devraient pas être soumis à l'investigation étatique.,"Die Finanzierung von Parteien sowie die Finanzierung von Kampagnen für Wahlen und Abstimmungen sollte nicht vollständig transparent sein. Eine solche Maßnahme würde dem Respekt der individuellen Freiheiten und der Privatsphäre entsprechen. Eine Person darf nicht das Recht haben, einen politischen Verein zu finanzieren, ohne dass der Staat davon Kenntnis hat. Die Finanzierung von Parteien oder politischen Bewegungen, die den Einsatz von Terrorismus befürworten, sollte nicht staatlich untersucht werden.","La financement des partis, ainsi que celui des campagnes électorales et référendaires, ne devrait pas être totalement transparent. Une telle mesure correspondrait au respect des libertés individuelles et de la vie privée. Une personne ne devrait pas avoir le droit de financer un club politique sans que l'État en soit informé. La financement des partis ou des mouvements politiques qui préconisent l'utilisation du terrorisme ne devrait pas faire l'objet d'une enquête de l'État.",2,No,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait être complètement transparent. Une telle mesure serait conforme au respect des libertés individuelles et de la sphère privée. Une personne ne doit pas avoir le droit de financer un parti politique sans que l'État en ait connaissance.,Yes
122738,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,"Il s'agit toutefois effectivement de l'encadrer afin de permettre un paiement rétroactif si la somme n'est au final pas utilisée pour un logement, ou pour une résidence principale n'étant pas utilisée durablement.",FAVOR,fr,X-Stance,L'acquisition d'une propriété d'habitation ne doit pas être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement.,Die Erwerbung einer Wohnimmobilie darf nicht durch Steuervorteile für Wohneigentum stärker gefördert werden.,L'acquisition d'une propriété résidentielle ne doit pas être encouragée de manière plus importante par des avantages fiscaux pour l'immobilier résidentiel.,2,Yes,,
